Features,PlatForm,Values
Gifting Options,Apple Store(iOs App),1
Gifting Options,Ins (Android App),1
Gifting Options,Tiktok (Android App),1
Content Sharing Prompts,LinkedIn(Android App),1
Content Sharing Prompts,Snapchat(Android App),1
Content Sharing Prompts,Tiktok (Android App),1
Congratulatory Prompts,LinkedIn(Android App),1
Anthropomorphic Language for Social Pressure,AliExpress (Android mobile phone),1
Anthropomorphic Language for Social Pressure,Facebook(Android App),1
Anthropomorphic Language for Social Pressure,Google Map(Android App),1
Anthropomorphic Language for Social Pressure,Ins (Android App),1
Anthropomorphic Language for Social Pressure,LinkedIn(Android App),1
Anthropomorphic Language for Social Pressure,Snapchat(Android App),1
Anthropomorphic Language for Social Pressure,Tiktok (Android App),1
Anthropomorphic Language for Social Pressure,Zalando(Android mobile phone),1
Social Reminders,Ins (Android App),1
Social Reminders,LinkedIn(Android App),1
Social Reminders,Pinterest (Android App),1
Social Reminders,Snapchat(Android App),1
Social Reminders,Tiktok (Android App),1
Contact Sync Prompts,Facebook(Android App),1
Contact Sync Prompts,Ins (Android App),1
Contact Sync Prompts,Snapchat(Android App),1
Contact Sync Prompts,Tiktok (Android App),1
Contact Sync Prompts,x (Android App),1
Rating Requests,AliExpress (Android mobile phone),1
Rating Requests,Amazon (Android mobile phone),1
Rating Requests,Apple Store(iOs App),1
Rating Requests,Booking(Android App),1
Rating Requests,Facebook(Android App),1
Rating Requests,Google Map(Android App),1
Rating Requests,Google Play(Android App),1
Rating Requests,Ins (Android App),1
Rating Requests,LinkedIn(Android App),1
Rating Requests,Pinterest (Android App),1
Rating Requests,Snapchat(Android App),1
Rating Requests,Tiktok (Android App),1
Rating Requests,YouTube(Android App),1
Rating Requests,Zalando(Android mobile phone),1
Rating Requests,x (Android App),1
In-app Incomplete/Unread Badge,AliExpress (Android mobile phone),1
In-app Incomplete/Unread Badge,Booking(Android App),1
In-app Incomplete/Unread Badge,Facebook(Android App),1
In-app Incomplete/Unread Badge,Google Play(Android App),1
In-app Incomplete/Unread Badge,Ins (Android App),1
In-app Incomplete/Unread Badge,LinkedIn(Android App),1
In-app Incomplete/Unread Badge,Pinterest (Android App),1
In-app Incomplete/Unread Badge,Snapchat(Android App),1
In-app Incomplete/Unread Badge,Tiktok (Android App),1
In-app Incomplete/Unread Badge,Wikipedia(Android App),1
